เฉลย
ตอบข้อ : A  วัดเรื่อง : noun  รายละเอียด : แก้เป็น Fascination เพราะ ในประโยคหลักนั้นขาดประธานของประโยค ซึ่ง Fascinated ไม่สามารถเป็นประธานได้ จึงต้องแก้เป็น Fascination
ตอบข้อ : B วัดเรื่อง : preposition รายละเอียด : แก้เป็น with เพราะ provide มีโครงสร้างคือ ‘provide somebody with something’ จึงต้องเปลี่ยน with เป็น about
ตอบข้อ : C  วัดเรื่อง : pronoun  รายละเอียด : แก้เป็น which เนื่องจาก that ใช้ตามหลัง comma ไม่ได้ ใน Non-restrictive clause
ตอบข้อ : C  วัดเรื่อง : parallel structure  รายละเอียด : แก้เป็น more durable เพราะ ในประโยคใช้ harder stronger ซึ่งอยู่ในรูปขั้นกว่า จึงต้องเปลี่ยนเป็น more durable
ตอบข้อ : C  วัดเรื่อง : verb  รายละเอียด : แก้เป็น also bothers เพราะ คำกริยา bother ยังไม่สอดคล้องกับประธานเอกพจน์ จึงต้องเปลี่ยนเป็น bothers
ตอบข้อ : A  วัดเรื่อง : Preposition  รายละเอียด : แก้เป็น Despite / In spite of เพราะ despite ไม่สามารถใช้ of ได้
ตอบข้อ : A  วัดเรื่อง : verb  รายละเอียด : แก้เป็น controlling เพราะ ข้อนี้ใช้ for ที่ต้องตามด้วย V.ing
ตอบข้อ : C  วัดเรื่อง : Word Choice  รายละเอียด : แก้เป็น little เพราะ ในข้อนี้ effect เป็นนามนับไม่ได้เอกพจน์ จึงต้องใช้ little
ตอบข้อ : D  วัดเรื่อง : Adjective  รายละเอียด : แก้เป็น its ability เพราะว่า ไม่สามารถใช้ it ขยายหน้านามได้ จะต้องใช้ possessive adjective ขยายหน้านาม ability
ตอบข้อ : C  วัดเรื่อง : Adverb  รายละเอียด : แก้เป็น seriously เพราะว่า จะต้องใช้ Adverb ในการขยาย กริยา
ตอบข้อ : D  วัดเรื่อง : Verb  รายละเอียด : แก้เป็น convincing เพราะเราไม่สามารถขยายนามด้วย v.3 ได้แบบ passive voice
ตอบข้อ : B  วัดเรื่อง : Adverb Clause  รายละเอียด : แก้เป็น so hazardous เพื่อที่จะได้ตรงกับโครงสร้าง
ตอบข้อ : B  วัดเรื่อง : Noun  รายละเอียด : แก้เป็น their courses ข้อนี้ใช้ all of เป็นตัวบอกจำนวนเลยต้องตามด้วยนามที่เป็นพหูพจน์ -s
ตอบข้อ : B  วัดเรื่อง : Parallel Structure  รายละเอียด : แก้เป็น changing เพราะอยู่หลัง such as ต้องเติม -ing
ตอบข้อ : A  วัดเรื่อง : Noun  รายละเอียด : แก้เป็น election เพราะว่ามีคำว่า every ต้องตามด้วนเอกพจน์
ตอบข้อ : B  วัดเรื่อง : Word form  รายละเอียด : แก้เป็น financial เพราะว่า จะต้องใช้ Adjective ในการขยายนาม
ตอบข้อ : B  วัดเรื่อง : Word order  รายละเอียด : แก้เป็น something abstract เพราะว่าคำว่า something ต้องอยู่ข้างหน้าและ Adj. ต้องอยู่ข้างหลัง
ตอบข้อ : B  วัดเรื่อง : Word Choice  รายละเอียด : แก้เป็น affect เพราะว่า effect เป็นนาม ซึ่งทำให้ประโยคมีความหมายที่ผิด
ตอบข้อ : C  วัดเรื่อง : Word Choice  รายละเอียด : แก้เป็น be made เพราะการผลิตต้องใช้คำว่า make(v.3)
ตอบข้อ : C  วัดเรื่อง : Verb  รายละเอียด : แก้เป็น to make เพราะว่า willing มีโครงสร้างเป็น ‘be willing to do something ‘
ตอบข้อ : C  วัดเรื่อง : Verb  รายละเอียด : แก้เป็น have received เพราะต้องถูกต้องตามเงื่อนไข
ตอบข้อ : D  วัดเรื่อง : Parallel Structure  รายละเอียด : แก้เป็น depressing เพราะว่า find มีโครงสร้างเป็น‘find somebody/something + Adjective’
ตอบข้อ : A  วัดเรื่อง : Word Form  รายละเอียด : แก้เป็น extreme เพื่อขยาย religious group
ตอบข้อ : A  วัดเรื่อง : Noun  รายละเอียด : แก้เป็น means of เพราะว่า mean เป็นกริยาไม่สามารถ ใข้ตามหลัง(a) ได้ ต้องเปลี่ยนเป็นรูปของ นาม
ตอบข้อ : C  วัดเรื่อง : Verb  รายละเอียด : แก้เป็น has been destroyed เพื่อที่จะได้สอดคล้องกับประธาน(s)
